# Constructed from biom file
#OTU ID	1-DM	1-MJB	2-DM	4-DM	5-MJB	3-DM
5e7a3094cc3c0b8e77d4a389ef7be3d6	5.0	0.0	0.0	0.0	0.0	0.0
84232d893f1b06c4ed02145bde9549f6	24.0	0.0	0.0	0.0	0.0	0.0
508ab5d53c87ae087295a88ad119545c	60.0	0.0	0.0	0.0	0.0	0.0
74ab86ad42af2338935b4f482c1db321	0.0	0.0	0.0	3.0	0.0	0.0
7a02436719cf9113330e3add1aeb3bd6	15.0	0.0	0.0	0.0	0.0	0.0
8fef2a349441b4f7f3883d6cd7988c37	0.0	5.0	0.0	0.0	0.0	0.0
aeaecdc0cb909f3e125ba8ffa943e2f9	0.0	0.0	0.0	2.0	0.0	0.0
e71c40638840c7f9b70c7a76b386b524	25.0	0.0	0.0	0.0	0.0	0.0
f2407da2dad24c702c707ad704dee611	0.0	0.0	0.0	8.0	0.0	0.0
cd7b051453c0e248207d38979eb20e41	7.0	0.0	0.0	0.0	0.0	0.0
308616356bc7954e93e4f27c08b9c23e	0.0	0.0	0.0	3.0	0.0	0.0
e4f70f44b1665db224fbf5720afb5dbc	0.0	32.0	0.0	0.0	0.0	0.0
37da591f6fcb02bf23c84be6ceb5e071	79.0	0.0	0.0	0.0	0.0	0.0
056ed8f22051f1333860f2851c08644b	0.0	0.0	0.0	0.0	5.0	0.0
f51cdb6314d314dc20480e551c95f468	11.0	0.0	0.0	0.0	0.0	0.0
7e6c692f5f998c20e41878c6d7dab627	7.0	0.0	0.0	0.0	0.0	0.0
fd90c0f0411b18b69daa8fc9781f043b	0.0	0.0	0.0	2.0	0.0	0.0
aea1f8a7094dc1cc4026931e9adb1d5e	10.0	0.0	0.0	0.0	0.0	0.0
f69dae7f2f7040e222255115f6750a36	0.0	0.0	0.0	3.0	0.0	0.0
21018149f417b3770f936b5a7fbeb50d	23.0	0.0	0.0	0.0	0.0	0.0
f8c555c3741ba43c5d6fa02ee4898b7a	4.0	0.0	0.0	0.0	0.0	0.0
8e33afa7efd85f9e3e9c82bb421c248f	33.0	0.0	0.0	0.0	0.0	0.0
e72962af8fbd896e233ebe2e9ea91d72	24.0	0.0	0.0	0.0	0.0	0.0
165d86010b5267d5b6c0e8292bca826c	9.0	0.0	0.0	0.0	0.0	0.0
dd03c9c9ad45b8b37397703c600a3887	108.0	0.0	0.0	0.0	0.0	0.0
f9a428d3348b2b40a6a9151b711d7ec3	0.0	26.0	0.0	0.0	0.0	0.0
7a8d6e53873c80f2c243b2384a87e758	0.0	13.0	0.0	0.0	0.0	0.0
ebb761b87139d2367dfb44eb35b5a623	0.0	0.0	0.0	0.0	12.0	0.0
725a26de349f84410c59e2998dd55b97	0.0	0.0	0.0	0.0	15.0	0.0
771c6832ea696501db5f99ff955691d4	1354.0	918.0	435.0	326.0	658.0	0.0
7aae6d39473f41ee5616e53981848fb0	0.0	0.0	0.0	3.0	0.0	0.0
acc2a8575781b430305ba51bda618eaf	0.0	0.0	2.0	0.0	0.0	0.0
afa2b3ac4a639b7afa1f563d73b26a9b	0.0	47.0	0.0	0.0	0.0	0.0
230ead65e17b63eb49bd80de9d19cda4	19.0	0.0	0.0	0.0	0.0	0.0
95613fbfcd4b2c05f936db4be1572885	0.0	0.0	0.0	2.0	0.0	0.0
ee24d6e0def257198af02f61c00a2c18	0.0	0.0	5.0	0.0	0.0	0.0
4e7a00d417eee46f5958adb5b91f9614	251.0	0.0	0.0	0.0	0.0	0.0
2257273992708c647a234dae8fb90bf6	0.0	0.0	0.0	0.0	55.0	0.0
efae01f4c65b49bf934d9d0feab8e1c1	0.0	0.0	4.0	0.0	0.0	0.0
5242751b33c1ed5120dbff29018ac6cd	0.0	0.0	22.0	0.0	0.0	0.0
eae70be499a89e5d088d99d7d5a186ee	0.0	0.0	0.0	9.0	0.0	0.0
0b4004bfad02ec5def7c1a0b823fc628	0.0	0.0	0.0	12.0	0.0	0.0
0703622b93abd8630413391a9ef25917	0.0	0.0	0.0	93.0	0.0	0.0
1ca19cdc41080c40fb704a43e678182d	6.0	0.0	0.0	0.0	0.0	0.0
